facility_id,hospital_name,address,city,state,zip_code,county,phone_number,hospital_type,hospital_ownership,emergency_services,beds,lat,lon,in_2011_data,in_2022_data,has_ownership_conflict_2022
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care,Voluntary Non-Profit - Other,1.0,162.0,33.707708,-87.823706,1,1,0
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care,Proprietary,1.0,281.0,34.003811,-86.004086,1,1,0
010047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Voluntary Non-Profit - Private,1.0,,,,1,1,0
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care,Proprietary,1.0,110.0,31.318191,-85.855308,1,1,0
010050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,2052743000,Acute Care Hospitals,Voluntary Non-Profit - Private,1.0,,,,1,1,0
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,2053723388,Acute Care,Government - Local,1.0,90.0,32.844744,-87.889307,1,1,0
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Acute Care,Proprietary,1.0,46.0,32.8187,-85.741758,1,1,0
010054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,35601,MORGAN,2563502211,Acute Care Hospitals,Proprietary,1.0,,,,1,1,0
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care,Proprietary,1.0,229.0,31.235991,-85.457937,1,1,0
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care,Voluntary Non-Profit - Private,1.0,421.0,33.508015,-86.788755,1,1,0
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,2059264881,Acute Care,Government - Hospital District or Authority,1.0,156.0,32.951101,-87.147865,1,1,0
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,2569742200,Acute Care,Government - Hospital District or Authority,1.0,42.0,34.482884,-87.286019,1,1,0
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,2562594444,Acute Care,Government - Hospital District or Authority,1.0,178.0,34.661254,-86.047116,1,1,0
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,3346843655,Acute Care,Voluntary Non-Profit - Private,1.0,175.0,31.048063,-85.890837,1,1,0
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Acute Care,Voluntary Non-Profit - Private,1.0,56.0,32.93103,-85.968394,1,1,0
010066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA,AL,36442,COVINGTON,3348583287,Acute Care Hospitals,Proprietary,1.0,,,,1,1,0
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care,Government - Hospital District or Authority,1.0,47.0,31.88798,-85.156613,1,1,0
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,2563542131,Acute Care,Government - Hospital District or Authority,1.0,137.0,33.276548,-85.823789,1,1,0
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,2562355121,Acute Care,Government - Local,1.0,279.0,33.657123,-85.823353,1,1,0
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care,Government - Hospital District or Authority,1.0,81.0,34.803499,-86.977803,1,1,0
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,2519493400,Acute Care,Proprietary,1.0,112.0,30.426109,-87.683187,1,1,0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35609,MORGAN,2563412000,Acute Care,Government - Hospital District or Authority,1.0,265.0,34.591168,-86.972621,1,1,0
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Acute Care,Proprietary,1.0,62.0,33.929316,-87.824507,1,1,0
010087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,Acute Care,Government - State,1.0,161.0,30.708121,-88.099441,1,1,0
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,2053874000,Acute Care,Voluntary Non-Profit - Private,1.0,222.0,33.841142,-87.236879,1,1,0
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,2516331000,Acute Care,Voluntary Non-Profit - Church,1.0,349.0,30.68169,-88.198329,1,1,0
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,2512753191,Acute Care,Government - Hospital District or Authority,1.0,31.0,31.694213,-87.777231,1,1,0
010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Acute Care,Government - Hospital District or Authority,1.0,593.0,33.20613,-87.525154,1,1,0
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Acute Care,Government - Local,1.0,30.0,32.412098,-87.018633,1,1,0
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care,Government - State,1.0,34.0,32.551957,-86.185643,1,1,0
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care,Government - Hospital District or Authority,1.0,48.0,31.127105,-87.072378,1,1,0
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,2519282375,Acute Care,Government - Hospital District or Authority,1.0,133.0,30.519999,-87.890333,1,1,0
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,2567614542,Acute Care,Voluntary Non-Profit - Private,1.0,98.0,33.439801,-86.090641,1,1,0
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,3346824131,Acute Care,Voluntary Non-Profit - Other,0.0,22.0,31.996611,-87.299424,1,1,0
010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Acute Care,Voluntary Non-Profit - Church,1.0,302.0,33.499133,-86.846016,1,1,0
010104,GRANDVIEW MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Acute Care,Proprietary,1.0,360.0,33.434363,-86.720483,1,1,0
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care,Government - Hospital District or Authority,1.0,55.0,32.464423,-86.450936,1,1,0
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,CARROLLTON,AL,35447,PICKENS,2053678111,Acute Care Hospitals,Government - Hospital District or Authority,1.0,,,,1,1,0
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Acute Care,Proprietary,1.0,54.0,32.146182,-85.71638,1,1,0
010112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care,Government - Hospital District or Authority,1.0,83.0,32.503676,-87.836744,1,1,0
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,MOBILE,2514354700,Acute Care,Voluntary Non-Profit - Private,1.0,678.0,30.696443,-88.081017,1,1,0
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care,Government - Hospital District or Authority,1.0,236.0,33.373086,-86.991709,1,1,0
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,3344184100,Acute Care,Proprietary,1.0,140.0,32.430248,-87.055174,1,1,0
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care,Government - Local,1.0,56.0,31.497839,-87.319411,1,1,0
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,AL,35565,WINSTON,2054857117,Acute Care,Voluntary Non-Profit - Church,1.0,58.0,34.241718,-87.589857,1,1,0
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,3346705000,Acute Care,Government - Federal,1.0,89.0,31.780322,-85.945529,1,1,0
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,2512469021,Acute Care,Proprietary,1.0,35.0,31.530482,-87.89318,1,1,0
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,2519375521,Acute Care,Voluntary Non-Profit - Private,1.0,64.0,30.902492,-87.783318,1,1,0
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,SAINT CLAIR,2053383301,Acute Care,Voluntary Non-Profit - Private,1.0,40.0,33.605568,-86.30238,1,1,0
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care,Proprietary,1.0,163.0,,,1,1,0
010137,COOPER GREEN MERCY HOSPITAL,1515 6TH AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,2059303200,Acute Care Hospitals,Government - Local,0.0,,,,1,1,0
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,2053925263,Acute Care,Voluntary Non-Profit - Other,1.0,33.0,32.491825,-88.296081,1,1,0
010139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,Acute Care,Proprietary,1.0,601.0,33.46291,-86.77685,1,1,0
010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,2513449630,Acute Care,Proprietary,1.0,198.0,30.685946,-88.131719,1,1,0
010145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,NORTHPORT,AL,35476,TUSCALOOSA,2053334500,Acute Care Hospitals,Government - Hospital District or Authority,,,,,1,1,0
010146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Acute Care Hospitals,Proprietary,1.0,,,,1,1,0
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,2515782480,Acute Care,Proprietary,1.0,44.0,31.43126,-86.94205,1,1,0
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,Acute Care,Government - Hospital District or Authority,1.0,171.0,32.376821,-86.172095,1,1,0
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,Acute Care (VA),Government - Federal,1.0,,,,1,1,0
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,3343822200,Acute Care,Proprietary,1.0,56.0,31.82945,-86.64586,1,1,0
010152,INFIRMARY WEST,5600 GIRBY RD,MOBILE,AL,36693,MOBILE,2516605236,Acute Care Hospitals,Government - State,1.0,,,,1,1,0
010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Acute Care,Government - Hospital District or Authority,1.0,184.0,34.744941,-87.676511,1,1,0
010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Acute Care,Proprietary,1.0,74.0,34.511165,-87.717585,1,1,0
010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care,Voluntary Non-Profit - Other,1.0,201.0,33.164666,-86.254598,1,1,0
010167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,AL,35205,JEFFERSON,2059307000,Acute Care Hospitals,Government - Hospital District or Authority,,,,,1,1,0
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,3347323000,Acute Care,Government - State,1.0,52.0,32.509045,-85.005696,1,1,0
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care,Government - Hospital District or Authority,1.0,48.0,31.01657,-87.479735,1,1,0
010173,ST VINCENT'S CHILTON,,,AL,,,,Acute Care,Voluntary Non-Profit - Church,,26.0,32.876585,-86.623511,0,1,0
010174,THOMASVILLE REGIONAL MEDICAL CENTER,,,AL,,,,Acute Care,Voluntary Non-Profit - Private,,29.0,,,0,1,0
010175,EAMC-LANIER,,,AL,,,,Acute Care,Government - Hospital District or Authority,,30.0,,,0,1,0
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,Acute Care (VA),Government - Federal,1.0,,,,1,1,0
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,1.0,,,,1,1,0
011300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access,Proprietary,1.0,103.0,31.460296,-88.235291,1,1,0
011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,FRANKLIN,2563569532,Critical Access,Government - Hospital District or Authority,1.0,25.0,34.457425,-88.146934,1,1,0
011304,CHOCTAW GENERAL HOSPITAL,,,AL,,,,Critical Access,Voluntary Non-Profit - Private,,25.0,,,0,1,0
011305,ST VINCENTS BLOUNT,,,AL,,,,Critical Access,Voluntary Non-Profit - Private,,25.0,33.932537,-86.493059,0,1,0
011306,TANNER MEDICAL CENTER-EAST ALABAMA,,,AL,,,,Critical Access,Government - Hospital District or Authority,,15.0,33.296666,-85.480028,0,1,0
013301,UNIV OF S AL CHILDREN'S & WOMEN'S HOS,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,2514151000,Childrens,Government - State,1.0,,,,1,1,0
020001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,ANCHORAGE,9072613675,Acute Care,Voluntary Non-Profit - Church,1.0,394.0,61.189798,-149.817622,1,1,0
020006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600,Acute Care,Voluntary Non-Profit - Private,1.0,90.0,61.561217,-149.258718,1,1,0
020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,9077968900,Acute Care,Government - Local,1.0,58.0,58.328696,-134.466829,1,1,0
020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,Acute Care,Voluntary Non-Profit - Other,1.0,213.0,64.831407,-147.736254,1,1,0
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care,Proprietary,1.0,169.0,61.20979,-149.827379,1,1,0
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Acute Care,Tribal,1.0,34.0,,,1,1,0
020024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,KENAI PENINSULA,9072624404,Acute Care,Voluntary Non-Profit - Other,1.0,186.0,60.493865,-151.077658,1,1,0
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,Acute Care,Government - Federal,1.0,163.0,61.18189,-149.800578,1,1,0
020027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,SITKA,9079662411,Acute Care Hospitals,Voluntary Non-Profit - Private,1.0,,,,1,1,0
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),,,,,,,Acute Care (DOD),Department of Defense,,,,,0,1,0
02014F,Bassett ACH (FT Wainwright),,,,,,,Acute Care (DOD),Department of Defense,,,,,0,1,0
021301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,VALDEZ CORDOVA,9078352249,Critical Access,Government - Local,1.0,21.0,,,1,1,0
021302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664,KENAI PENINSULA,9072245205,Critical Access,Government - Local,1.0,46.0,60.105046,-149.445383,1,1,0
021303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,AK,99835,SITKA,9077473241,Critical Access Hospitals,Government - Local,1.0,,,,1,1,0
021304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,AK,99833,,9077724291,Critical Access,Government - Local,1.0,27.0,,,1,1,0
021305,SEARHC WRANGELL MEDICAL CENTER-CAH,310 BENNETT STREET PO BOX 1081,WRANGELL,AK,99929,,9078747000,Critical Access,Government - Local,0.0,22.0,56.471646,-132.376414,1,1,0
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND,9074869592,Critical Access,Voluntary Non-Profit - Church,1.0,46.0,57.800835,-152.373943,1,1,0
021307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,VALDEZ CORDOVA,9074248000,Critical Access,Government - Local,1.0,23.0,,,1,1,0
021308,NORTON SOUND REGIONAL HOSPITAL,"306 WEST 5TH AVENUE, P O BOX 966",NOME,AK,99762,NOME,9074433311,Critical Access,Tribal,1.0,36.0,,,1,1,0
021309,BRISTOL BAY AREA HEALTH CORPORATION,,,AK,,,,Critical Access,Voluntary Non-Profit - Private,,16.0,,,0,1,0
021310,MANIILAQ HEALTH CENTER,,,AK,,,,Critical Access,Tribal,,17.0,,,0,1,0
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,Critical Access,Voluntary Non-Profit - Church,1.0,51.0,55.352717,-131.686049,1,1,0
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,,,AK,,,,Critical Access,Government - Federal,,16.0,71.298135,-156.72732,0,1,0
021313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,AK,99603,KENAI PENINSULA,9072358101,Critical Access,Voluntary Non-Profit - Private,1.0,49.0,59.652133,-151.550296,1,1,0
021314,MT EDGECUMBE HOSPITAL,,,AK,,,,Critical Access,Voluntary Non-Profit - Private,,26.0,57.05201,-135.356353,0,1,0
030001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,MARICOPA,6238485000,Acute Care Hospitals,Proprietary,1.0,,,,1,1,0
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,MARICOPA,6022394200,Acute Care,Voluntary Non-Profit - Other,1.0,706.0,33.465724,-112.058127,1,1,0
030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,PIMA,5203275461,Acute Care,Voluntary Non-Profit - Private,1.0,520.0,32.250749,-110.880169,1,1,0
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,YAVAPAI,9286396000,Acute Care,Voluntary Non-Profit - Private,1.0,102.0,34.736201,-112.031784,1,1,0
